K_budget,K_pct,method,coefficient,variance,mse,rmse,random_variance,rel_efficiency,efficiency_gain_pct
15,5.0,Adaptive Hybrid,0,2.7631255939635877,2.9209555156428575,1.7090803128123784,3.0422532703682266,1.1010188161603764,10.101881616037645
15,5.0,Adaptive Hybrid,1,1.74433100796046,1.7286850766828772,1.3147946899356102,1.7450941161821425,1.0004374790210115,0.04374790210115442
15,5.0,Adaptive Hybrid,2,1.927159889764576,2.002600351949274,1.4151326269821052,1.927272199966317,1.0000582775733022,0.005827757330223449
15,5.0,Adaptive Hybrid,3,1.9723785496795243,2.0058145315213785,1.4162678177242392,1.9713258162079819,0.9994662619547786,-0.0533738045221388
15,5.0,Adaptive Hybrid,4,2.114156443367771,2.102708154721564,1.4500717757137278,2.114334068238411,1.0000840169000724,0.008401690007242557
15,5.0,Adaptive Hybrid,5,2.4174024796688203,2.4719265421960173,1.5722361598042507,2.4165323561886582,0.999640058497714,-0.035994150228602084
15,5.0,Balanced,0,2.7601039264918987,2.911524313940929,1.7063189367585794,3.0422532703682266,1.1022241739407763,10.222417394077631
15,5.0,Balanced,1,1.7446117804697603,1.7289682147038206,1.3149023593802776,1.7450941161821425,1.0002764716584984,0.02764716584984228
15,5.0,Balanced,2,1.9271279302187256,2.002607661202975,1.4151352095128489,1.927272199966317,1.0000748625689706,0.007486256897060173
15,5.0,Balanced,3,1.9720584213300165,2.0055776611100806,1.4161841903898238,1.9713258162079819,0.9996285073940454,-0.03714926059545931
15,5.0,Balanced,4,2.1136910211826168,2.1022803599148676,1.4499242600614928,2.114334068238411,1.000304229449503,0.03042294495030351
15,5.0,Balanced,5,2.41764762757703,2.4722324057695864,1.572333427034351,2.4165323561886582,0.9995386956413125,-0.046130435868751984
15,5.0,Deterministic A-opt,0,2.752953671378222,2.8363027113194765,1.6841326287794192,3.0422532703682266,1.105086984208191,10.508698420819096
15,5.0,Deterministic A-opt,1,1.7442869987703669,1.728649419496979,1.3147811298832133,1.7450941161821425,1.0004627205341463,0.04627205341463103
15,5.0,Deterministic A-opt,2,1.9275349334989218,2.0029927759350787,1.415271272913811,1.927272199966317,0.9998636945416455,-0.013630545835452423
15,5.0,Deterministic A-opt,3,1.9724671713632143,2.0059179691707993,1.4163043349403401,1.9713258162079819,0.999421356577284,-0.057864342271596314
15,5.0,Deterministic A-opt,4,2.1139364049042633,2.102498681288547,1.4499995452718415,2.114334068238411,1.000188115088621,0.018811508862093262
15,5.0,Deterministic A-opt,5,2.4169031187506036,2.47142740377586,1.572077416597497,2.4165323561886582,0.9998465960182397,-0.01534039817603361
15,5.0,Random,0,3.0422532703682266,3.077356602125,1.7542396079569633,3.0422532703682266,1.0,0.0
15,5.0,Random,1,1.7450941161821425,1.7294362127871283,1.3150803065923877,1.7450941161821425,1.0,0.0
15,5.0,Random,2,1.927272199966317,2.002816321672164,1.415208932162373,1.927272199966317,1.0,0.0
15,5.0,Random,3,1.9713258162079819,2.0048206856441095,1.4159169063345878,1.9713258162079819,1.0,0.0
15,5.0,Random,4,2.114334068238411,2.1029612527038246,1.4501590439340868,2.114334068238411,1.0,0.0
15,5.0,Random,5,2.4165323561886582,2.4710785870345338,1.5719664713455352,2.4165323561886582,1.0,0.0
30,10.0,Adaptive Hybrid,0,2.741140675196467,2.813702666426396,1.677409510652183,4.245868390373706,1.5489421716998855,54.89421716998854
30,10.0,Adaptive Hybrid,1,2.801505608859317,2.7736709733816345,1.6654341696331423,2.8021276261622474,1.000222029647545,0.022202964754503007
30,10.0,Adaptive Hybrid,2,2.0063716456169063,1.9914088328222033,1.41117285717314,2.005968740868112,0.999799187379031,-0.02008126209690486
